key,text
unlockHint,所有盘问点已发现，提交已解锁。
needSoup,请先输入汤底。
resultTitle,🎉 游戏结束
clueTitle,盘问点回顾
clueFound,已发现
cluePending,未发现
scoreLabel,得分
verdictLabel,定性
fitLabel,吻合度
mistakesLabel,失误点
tipsLabel,提升建议
summaryLabel,总结
exportName,turtlesoup-export.json
honkakuOn,本格推理
honkakuOff,非本格推理
localScoreVerdict,本地评估结果。
localFit,与官方汤底存在部分吻合。
localMistake,本地模式下未调用 Agent 复核。
localTip,建议围绕关键盘问点整理时间线。
localSummary,本地演示分数。
shareSoupBtn,分享汤底
importSoupBtn,导入汤底
importInvalid,无效的汤底文件，请检查文件格式。
importFailed,导入失败，文件可能已损坏。
errorTitle,生成失败
errorDesc,AI 引擎返回了错误，请检查网络或 API Key 后重试。
errorRetry,重试
errorDemo,使用演示模式
errorCancel,返回
api401Title,API Key 无效
api401Desc,您的 API Key 已失效或余额不足，请更新 Key 后重试。
api429Title,请求过于频繁
api429Desc,请稍等片刻后再试。
