key,text
demoStorySoup,店主用鍋保存了與一宗舊案有關的證據，鄰居藉走後因為誤判把證據處理掉，導致店主誤以為被盜；真正的秘密藏在鍋裡殘留的氣味和時間線裡。
demoStorySetting,城南小店
demoStoryCharacters,店主
replyImportant,重要。
replyYes,是。
replyNo,不是。
chatRoleRule,規則
shortRepliesList,是／不是／重要／不重要／是也不是／皆有可能／無法確定／不需要關心
randomStyle,隨機風格
gameReady,"湯底完成，開始調味吧...
每次只能提出一個問題，主持人會告訴你是與否。
請在有限的提問次數裡推理出真相。"
gameReadyDeath,"時間正在流逝，若是不能儘快完成調味，美味將會轉瞬即逝...
每次只能提出一個問題，主持人會告訴你是與否。
請在有限的提問次數裡推理出真相。"
chatRoleHost,主持人
chatRolePlayer,玩家
chatRoleSystem,系統
chatMetaQuestion,Q${index} · ${label}
speedBonus,+${seconds}s
demoWarning,未設定 API Key，已切換到本地示範模式。
noQuestion,請輸入一個問題後再發送。
tooMany,你不能連續提問多個問題。但我可以先回答第一個問題：${followUp}
tooManyFollowUp,你先聚焦第一個問題。
waitGenerate,請先生成謎面。
limitHint,提問機會已用盡，請提交湯底。
exhaustedPlaceholder,提問次數用盡，請提交湯底。
unlockHint,所有盤問點已發現，提交已解鎖。
needSoup,請先輸入湯底。
resultTitle,🎉 遊戲結束
clueTitle,盤問點回顧
clueFound,已發現
cluePending,未發現
scoreLabel,得分
verdictLabel,定性
fitLabel,吻合度
mistakesLabel,失誤點
tipsLabel,提升建議
summaryLabel,總結
exportName,turtlesoup-export.json
honkakuOn,本格推理
honkakuOff,非本格推理
localScoreVerdict,本地評估結果。
localFit,與官方湯底存在部分吻合。
localMistake,本地模式下未呼叫 Agent 覆核。
localTip,建議圍繞關鍵盤問點整理時間線。
localSummary,本地示範分數。
shareSoupBtn,分享湯底
importSoupBtn,匯入湯底
importInvalid,無效的湯底檔案，請檢查檔案格式。
importFailed,匯入失敗，檔案可能已損壞。
errorTitle,生成失敗
errorDesc,AI 引擎返回了錯誤，請檢查網路或 API Key 後重試。
errorRetry,重試
errorDemo,使用示範模式
errorCancel,返回
api401Title,API Key 無效
api401Desc,您的 API Key 已失效或餘額不足，請更新 Key 後重試。
api429Title,請求過於頻繁
api429Desc,請稍等片刻後再試。
