key,text
untitledStoryTitle,Untitled Mystery
importLabel,Imported
randomStyle,Random style
shortRepliesList,yes/no/important/unimportant/neither/cannot determine/not relevant
replyYes,Yes.
replyNo,No.
replyImportant,Important.
chatRoleRule,Rule
demoStoryTitle,The Missing Pot
demoStoryOutline,"A shop owner lends a pot to a neighbor. The neighbor mistakes the leftover liquid for ordinary broth, but it actually contains a truth tied to mistaken identity."
demoStoryRiddleHtml,"<p>Overnight, the little shop in the south of town suddenly closed. The next morning, the owner stood at the doorway, pale.</p><p>He told the police: <em>The pot is still here, but the soup is gone.</em> Everyone else thought it was absurd, but only the person who asked about the pot knew why he kept staring at the kitchen corner.</p>"
demoStoryClues,"What was in the pot was not ordinary food, but a medium for storing information.\nThe real key is the time gap, not the theft itself.\nThe neighbor and the owner understand the same object differently.\nSmell, temperature, or residue will determine the truth."
demoStorySoup,The owner used the pot to store evidence tied to an old case. After the neighbor borrowed it
demoStorySetting,The south-side shop
demoStoryCharacters,邻居
replyImportant,Important.
replyYes,Yes.
replyNo,No.
chatRoleRule,Rule
shortRepliesList,yes/no/important/unimportant/neither/cannot determine/not relevant
randomStyle,Random style
gameReady,"Broth's ready—time to season it...
You may only ask one question at a time; the host will answer yes or no.
Uncover the truth within your limited attempts.."
gameReadyDeath,"Time is running out—if you don't finish seasoning soon, the flavor will vanish in an instant...
You may only ask one question at a time; the host will answer yes or no.
Uncover the truth within your limited attempts."
chatRoleHost,Host
chatRolePlayer,Player
chatRoleSystem,System
chatMetaQuestion,Q${index} · ${label}
speedBonus,+${seconds}s
demoWarning,No API key configured. Switched to local demo mode.
noQuestion,Please enter a question first.
tooMany,You cannot ask multiple questions at once. I can answer the first one: ${followUp}
tooManyFollowUp,please focus on the first one.
waitGenerate,Generate a mystery first.
limitHint,No attempts left. Please submit your soup.
exhaustedPlaceholder,No questions left. Please submit your soup.
unlockHint,All clues discovered. Submission unlocked.
needSoup,Please enter your soup guess first.
resultTitle,🎉 Game Over
clueTitle,Clue Review
clueFound,Discovered
cluePending,Pending
scoreLabel,Score
verdictLabel,Verdict
fitLabel,Fit
mistakesLabel,Mistakes
tipsLabel,Tips
summaryLabel,Summary
exportName,turtlesoup-export.json
honkakuOn,Honkaku Mystery
honkakuOff,Non-Honkaku Mystery
localScoreVerdict,Local evaluation result.
localFit,Partially matched the official soup.
localMistake,No Agent validation in local mode.
localTip,Try to align the timeline around the key clues.
localSummary,Local demo score.
shareSoupBtn,Share Soup
importSoupBtn,Import Soup
importInvalid,Invalid soup file. Please check the file format.
importFailed,Import failed. The file may be corrupted.
errorTitle,Generation Failed
errorDesc,The AI engine returned an error. Please check your network or API Key and try again.
errorRetry,Retry
errorDemo,Use Demo Mode
errorCancel,Go Back
api401Title,Invalid API Key
api401Desc,Your API Key is invalid or has insufficient balance. Please update it and try again.
api429Title,Too Many Requests
api429Desc,Please wait a moment and try again.
